Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals,
12:00:00 AM,795,6.1,12:00:00 AM,795,
1:00:00 AM,1590,6.1,1:00:00 AM,1590,
2:00:00 AM,2385,6.1,2:00:00 AM,2385,
3:00:00 AM,4771,7.2,3:00:00 AM,4771,
4:00:00 AM,7157,7.2,4:00:00 AM,7157,
5:00:00 AM,9543,7.2,5:07:24 AM,9543,
6:00:00 AM,14315,10,6:10:24 AM,14315,
7:00:00 AM,19087,10,7:10:24 AM,19087,
8:00:00 AM,23859,10,8:10:24 AM,23859,
9:00:00 AM,27267,8.2,9:08:24 AM,27267,
10:00:00 AM,30675,8.2,10:08:36 AM,30675,
11:00:00 AM,34083,8.2,11:08:36 AM,34083,
12:00:00 PM,37491,8.2,12:08:36 PM,37491,
1:00:00 PM,40899,8.2,1:08:36 PM,40899,
2:00:00 PM,44307,8.2,2:08:36 PM,44307,
3:00:00 PM,49079,10,3:10:24 PM,49079,
4:00:00 PM,53851,10,4:10:24 PM,53851,
5:00:00 PM,58623,10,5:10:24 PM,58623,
6:00:00 PM,2386,7.2,6:07:24 PM,2386,
7:00:00 PM,4772,7.2,7:07:24 PM,4772,
8:00:00 PM,7158,7.2,8:00:00 PM,7158,
9:00:00 PM,795,6.1,9:00:00 PM,795,
10:00:00 PM,1590,6.1,10:00:00 PM,1590,
11:00:00 PM,2385,6.1,11:00:00 PM,2385,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,https://raw.githubusercontent.com/ta2279-tech/6666/refs/heads/main/Iteration%204%20-%204A%20Zone%203%20(Car)%20(1).csv
