Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,164,30.5,12:30:00 AM,164
1:00:00 AM,1158,30.5,1:30:00 AM,1158
2:00:00 AM,2152,30.5,2:30:00 AM,2152
3:00:00 AM,2644,31.4,3:31:00 AM,2644
4:00:00 AM,5625,31.4,4:31:00 AM,5625
5:00:00 AM,8606,31.4,5:31:30 AM,8606
6:00:00 AM,9591,32.9,6:32:30 AM,9591
7:00:00 AM,15553,32.9,7:32:30 AM,15553
8:00:00 AM,21515,32.9,8:32:30 AM,21515
9:00:00 AM,22218,32,9:32:30 AM,22218
10:00:00 AM,26476,32,10:32:36 AM,26476
11:00:00 AM,30734,32,11:32:36 AM,30734
12:00:00 PM,34992,32,12:32:36 PM,34992
1:00:00 PM,39250,32,1:32:36 PM,39250
2:00:00 PM,43508,32,2:32:36 PM,43508
3:00:00 PM,44493,32.9,3:32:30 PM,44493
4:00:00 PM,50455,32.9,4:32:30 PM,50455
5:00:00 PM,56417,32.9,5:32:30 PM,56417
6:00:00 PM,56909,31.4,6:31:30 PM,56909
7:00:00 PM,59890,31.4,7:31:30 PM,59890
8:00:00 PM,62871,31.4,8:31:00 PM,62871
9:00:00 PM,63035,30.5,9:30:00 PM,63035
10:00:00 PM,64029,30.5,10:30:00 PM,64029
11:00:00 PM,65023,30.5,11:30:00 PM,65023
